서울역방면,삼각지방면,서울역방면,삼각지방면
평일,평일,주말,주말
05:47첫,05:51첫,05:47첫,05:52첫
남태령진접,한성대입구오이도,남태령진접,한성대입구오이도
5:58,-,5:59,-
산본당고개,-,사당진접,-
6:06,6:04,6:11,6:04
사당당고개,노원오이도,산본당고개,노원사당
6:15,6:09,6:19,6:09
안산당고개,당고개사당,사당진접,당고개오이도
6:22,6:15,6:27,6:15
사당당고개,당고개오이도,안산당고개,당고개사당
6:29,6:18,6:34,6:21
오이도당고개,진접사당,안산당고개,당고개오이도
6:37,6:24,6:40,6:27
오이도당고개,당고개오이도,사당진접,진접사당
6:44,6:29,6:46,6:33
사당진접,당고개사당,오이도당고개,당고개오이도
6:48,6:35,6:52,6:39
오이도당고개,당고개오이도,사당진접,진접사당
6:53,6:39,6:58,6:45
사당진접,진접사당,오이도당고개,당고개안산
6:55,6:44,-,6:51
오이도당고개,당고개오이도,-,진접사당
-,6:48,-,6:57
-,창동사당,-,당고개오이도
-,6:52,7:04,7:03
-,당고개오이도,사당당고개,당고개사당
-,6:56,7:10,7:09
-,진접사당,오이도당고개,당고개오이도
7:00,7:00,7:16,7:15
오이도당고개,당고개오이도,사당진접,진접사당
7:05,7:03,7:22,7:21
사당진접,창동사당,오이도당고개,당고개오이도
7:09,7:08,7:28,7:27
오이도당고개,당고개안산,사당진접,당고개사당
7:14,7:12,7:34,7:33
사당진접,진접사당,오이도당고개,당고개오이도
7:18,7:16,7:40,7:39
오이도당고개,당고개오이도,사당당고개,당고개오이도
7:22,7:19,7:46,7:45
사당진접,창동사당,오이도당고개,진접사당
7:26,7:23,7:52,7:51
오이도당고개,당고개오이도,사당진접,당고개오이도
7:30,7:26,7:58,7:57
사당진접,진접사당,오이도당고개,당고개안산
7:34,7:29,8:04,8:03
오이도당고개,당고개안산,사당당고개,진접사당
7:40,7:33,8:10,8:08
안산당고개,당고개사당,오이도당고개,당고개오이도
7:43,7:36,8:16,8:15
사당진접,당고개오이도,안산당고개,당고개오이도
7:46,7:41,8:22,8:21
오이도당고개,당고개오이도,오이도당고개,진접사당
7:49,7:44,8:28,8:27
사당당고개,진접사당,사당진접,당고개오이도
07:52급첫,7:47,8:34,8:33
오이도당고개,당고개오이도,오이도당고개,당고개사당
7:56,7:51,8:40,8:39
사당진접,당고개사당,오이도당고개,당고개오이도
7:59,7:54,8:46,8:45
안산당고개,당고개오이도,사당당고개,진접사당
-,7:57,8:52,8:51
-,창동사당,오이도당고개,당고개오이도
8:01,8:00,8:58,8:57
사당당고개,당고개안산,사당당고개,진접사당
8:04,8:04,9:04,9:03
오이도당고개,진접사당,오이도당고개,당고개오이도
8:07,8:07,9:10,9:09
사당진접,당고개오이도,사당당고개,당고개사당
08:10급,8:11,9:16,9:15
오이도당고개,당고개오이도,오이도당고개,당고개오이도
8:15,8:14,9:21,9:21
오이도당고개,진접사당,사당진접,진접사당
8:18,8:17,9:26,9:27
사당진접,당고개안산,안산당고개,당고개오이도
8:21,8:20,9:31,9:33
안산당고개,진접사당,오이도당고개,진접사당
8:24,8:24,9:36,9:39
사당당고개,당고개오이도,사당당고개,당고개오이도
8:27,8:26,9:41,9:45
오이도당고개,창동사당,오이도당고개,당고개사당
8:31,8:29,9:47,9:51
사당진접,당고개오이도,사당당고개,당고개오이도
8:35,8:32,9:52,9:57
오이도당고개,진접사당,오이도당고개,진접사당
8:37,8:34,9:58,-
사당진접,창동오이도,사당진접,-
8:40,8:37,10:04,10:03
오이도당고개,당고개안산,오이도당고개,당고개안산
8:44,8:42,10:10,10:09
오이도당고개,진접사당,사당진접,당고개오이도
8:50,8:47,10:16,10:15
오이도당고개,당고개오이도,오이도당고개,진접사당
8:53,8:51,10:22,10:21
사당진접,진접사당,사당당고개,당고개오이도
8:56,8:54,10:28,10:27
오이도당고개,당고개오이도,오이도당고개,진접사당
8:59,8:58,10:34,10:33
사당당고개,진접사당,사당진접,당고개오이도
09:02급,9:01,10:40,10:39
오이도당고개,당고개오이도,오이도당고개,진접사당
9:05,9:07,10:45,10:45
사당당고개,당고개오이도,오이도당고개,당고개오이도
9:08,9:11,10:51,10:51
오이도당고개,진접사당,사당진접,당고개사당
9:10,9:14,10:57,10:57
사당진접,당고개안산,오이도당고개,당고개오이도
09:14급막,9:18,11:03,11:03
오이도당고개,당고개오이도,사당당고개,진접사당
9:17,9:23,11:09,11:09
사당당고개,진접사당,오이도당고개,당고개오이도
9:20,9:26,11:15,11:15
오이도당고개,당고개오이도,사당당고개,당고개사당
9:27,9:29,11:21,11:21
오이도당고개,진접사당,오이도당고개,당고개오이도
9:31,9:32,11:26,11:27
사당진접,당고개안산,사당진접,진접사당
9:35,9:37,11:30,11:33
안산당고개,당고개오이도,오이도당고개,당고개오이도
9:42,9:42,11:37,11:39
오이도당고개,진접사당,오이도당고개,진접사당
9:46,9:48,11:41,11:45
사당진접,당고개오이도,사당진접,당고개오이도
9:51,9:53,11:46,11:51
안산당고개,진접사당,오이도당고개,당고개사당
9:54,9:58,11:51,11:57
사당당고개,당고개오이도,사당당고개,당고개오이도
9:58,-,11:56,-
오이도당고개,-,오이도당고개,-
10:02,10:03,12:01,12:03
사당진접,진접사당,오이도당고개,진접사당
10:08,10:08,12:06,12:09
오이도당고개,당고개오이도,사당당고개,당고개오이도
10:13,10:12,12:11,12:14
사당당고개,당고개안산,오이도당고개,당고개오이도
10:18,10:17,12:16,12:18
오이도당고개,진접사당,사당진접,진접사당
10:23,10:21,12:21,12:22
사당진접,당고개오이도,오이도당고개,당고개안산
10:28,10:25,12:26,12:26
오이도당고개,당고개사당,오이도당고개,당고개사당
10:33,10:28,12:31,12:30
사당진접,진접사당,사당진접,당고개오이도
10:38,10:31,12:36,12:34
오이도당고개,당고개오이도,오이도당고개,진접사당
10:43,10:36,12:41,12:39
사당당고개,진접사당,사당당고개,당고개오이도
10:48,10:41,12:45,12:44
오이도당고개,당고개오이도,안산당고개,당고개사당
10:54,10:46,12:51,12:49
사당당고개,당고개사당,오이도당고개,당고개오이도
10:58,10:52,12:55,12:54
오이도당고개,당고개오이도,사당진접,진접사당
-,10:59,12:59,12:59
-,진접사당,안산당고개,당고개오이도
11:03,11:03,13:03,13:04
사당당고개,당고개오이도,사당당고개,당고개안산
11:07,11:09,13:07,13:09
오이도당고개,진접사당,오이도당고개,진접사당
11:11,11:14,13:11,13:14
사당진접,당고개오이도,사당진접,당고개오이도
11:14,11:19,13:16,13:18
사당당고개,당고개사당,오이도당고개,당고개사당
11:18,11:25,13:21,13:22
오이도당고개,당고개오이도,사당당고개,당고개오이도
11:24,11:30,13:26,13:26
사당진접,진접사당,오이도당고개,진접사당
11:30,11:36,13:31,13:30
오이도당고개,당고개오이도,사당진접,당고개오이도
11:35,11:41,13:36,13:34
사당진접,진접사당,오이도당고개,당고개사당
11:38,11:47,13:41,13:39
오이도당고개,당고개오이도,오이도당고개,당고개오이도
11:41,11:54,13:46,13:44
오이도당고개,당고개오이도,사당진접,진접사당
11:46,-,13:51,13:49
사당진접,-,오이도당고개,당고개오이도
11:51,-,13:55,13:54
오이도당고개,-,사당당고개,당고개오이도
11:58,-,13:59,13:59
사당진접,-,안산당고개,진접사당
12:05,12:00,14:03,14:04
오이도당고개,진접사당,사당진접,당고개오이도
12:10,12:06,14:07,14:09
사당진접,당고개오이도,오이도당고개,당고개사당
12:15,12:12,14:11,14:14
오이도당고개,당고개사당,사당당고개,당고개안산
12:19,12:18,14:16,14:19
사당진접,당고개오이도,오이도당고개,당고개오이도
12:25,12:24,14:21,14:23
오이도당고개,진접사당,사당진접,진접사당
12:33,12:30,14:26,14:27
안산당고개,당고개안산,오이도당고개,당고개안산
12:37,12:33,14:31,14:31
사당진접,진접사당,오이도당고개,당고개사당
12:43,12:37,14:36,14:35
오이도당고개,당고개오이도,사당진접,당고개오이도
12:48,12:42,14:41,14:39
사당진접,당고개사당,오이도당고개,진접사당
12:53,12:48,14:46,14:44
오이도당고개,당고개오이도,사당당고개,당고개오이도
-,12:54,14:51,14:49
-,진접사당,오이도당고개,당고개사당
-,12:59,14:56,14:54
-,당고개오이도,오이도당고개,당고개오이도
13:01,13:10,-,14:59
오이도당고개,당고개오이도,-,진접사당
13:06,13:15,15:00,15:04
사당진접,진접사당,사당진접,당고개안산
13:11,13:20,15:04,15:09
오이도당고개,당고개오이도,안산당고개,당고개오이도
13:17,13:25,15:08,15:14
사당진접,진접사당,사당당고개,진접사당
13:22,13:32,15:12,15:19
오이도당고개,당고개오이도,오이도당고개,당고개오이도
13:29,13:37,15:16,15:23
사당당고개,진접사당,사당진접,당고개사당
13:36,13:43,15:21,15:27
오이도당고개,당고개오이도,오이도당고개,당고개오이도
13:41,13:48,15:26,15:31
사당진접,진접사당,사당당고개,진접사당
13:47,13:53,15:31,15:35
오이도당고개,당고개오이도,오이도당고개,당고개안산
13:52,-,15:36,15:39
사당당고개,-,사당진접,당고개사당
13:56,-,15:41,15:44
오이도당고개,-,오이도당고개,당고개오이도
14:01,14:01,15:46,15:49
사당진접,당고개오이도,안산당고개,진접사당
14:06,14:06,15:51,15:54
오이도당고개,진접사당,사당진접,당고개오이도
14:12,14:12,15:56,15:59
사당진접,당고개오이도,오이도당고개,당고개안산
14:18,14:17,16:00,16:04
오이도당고개,진접사당,사당당고개,진접사당
14:25,14:22,16:04,16:09
사당진접,당고개오이도,오이도당고개,당고개오이도
14:30,14:26,16:08,16:14
오이도당고개,진접사당,사당진접,당고개사당
14:36,14:30,16:12,16:19
오이도당고개,당고개오이도,오이도당고개,당고개안산
14:42,14:34,16:16,16:24
사당진접,진접사당,사당당고개,당고개오이도
14:48,14:40,16:21,16:28
오이도당고개,당고개오이도,오이도당고개,진접사당
14:55,14:46,16:26,16:32
사당진접,진접사당,사당진접,당고개안산
-,14:51,16:30,16:36
-,당고개오이도,오이도당고개,당고개사당
-,14:58,16:37,16:40
-,당고개사당,오이도당고개,당고개오이도
15:00,15:05,16:41,16:44
오이도당고개,당고개오이도,사당당고개,진접사당
15:05,15:11,16:46,16:49
안산당고개,진접사당,오이도당고개,당고개오이도
15:10,15:16,16:51,16:54
사당진접,당고개오이도,사당진접,당고개사당
15:15,15:21,16:56,16:59
오이도당고개,당고개사당,안산당고개,당고개오이도
15:20,15:25,17:01,17:04
사당당고개,당고개오이도,오이도당고개,진접사당
15:25,15:30,17:05,17:09
오이도당고개,진접사당,사당당고개,당고개오이도
15:33,15:36,17:10,17:14
사당진접,당고개오이도,오이도당고개,당고개오이도
15:39,15:42,17:13,17:19
오이도당고개,진접사당,사당진접,진접사당
15:44,15:47,17:17,17:24
사당진접,당고개오이도,안산당고개,당고개오이도
15:50,15:54,17:21,17:29
오이도당고개,진접사당,사당당고개,당고개사당
15:54,15:59,17:26,17:34
사당당고개,당고개오이도,오이도당고개,당고개오이도
15:58,-,17:31,17:39
오이도당고개,-,사당진접,당고개오이도
16:01,16:05,17:36,17:44
사당진접,당고개오이도,오이도당고개,진접사당
16:05,16:12,17:41,17:49
안산당고개,진접사당,사당진접,당고개오이도
16:08,16:18,17:45,17:54
사당당고개,당고개오이도,안산당고개,진접사당
16:12,16:24,17:51,17:59
오이도당고개,진접사당,오이도당고개,당고개오이도
16:18,16:29,17:56,-
사당진접,당고개오이도,사당진접,-
16:24,16:34,18:01,18:04
오이도당고개,당고개오이도,안산당고개,당고개오이도
16:30,16:39,18:06,18:09
사당진접,진접사당,오이도당고개,진접사당
16:35,16:44,18:11,18:15
오이도당고개,당고개오이도,사당진접,당고개오이도
16:41,16:49,18:17,18:21
오이도당고개,당고개사당,오이도당고개,당고개사당
16:47,16:54,18:23,18:27
사당진접,당고개오이도,사당당고개,당고개오이도
16:53,-,18:28,18:33
오이도당고개,-,오이도당고개,진접사당
17:00,17:00,18:33,18:39
사당진접,진접사당,사당진접,당고개오이도
17:04,17:08,18:38,18:46
오이도당고개,당고개오이도,오이도당고개,당고개오이도
17:11,17:13,18:43,18:51
오이도당고개,진접사당,안산당고개,진접사당
17:15,17:17,18:48,18:57
사당진접,당고개오이도,사당진접,당고개오이도
17:20,17:22,18:53,-
오이도당고개,당고개사당,오이도당고개,-
17:25,17:26,18:59,-
사당진접,당고개오이도,사당당고개,-
17:31,17:30,19:05,19:03
오이도당고개,진접사당,오이도당고개,당고개사당
17:36,17:33,19:11,19:08
사당진접,당고개오이도,사당진접,당고개오이도
17:41,17:37,19:17,19:13
안산당고개,당고개사당,안산당고개,진접사당
17:45,17:40,19:23,19:18
오이도당고개,당고개오이도,오이도당고개,당고개오이도
17:50,17:44,19:29,19:23
사당진접,진접사당,사당진접,당고개오이도
17:54,17:47,19:35,19:28
오이도당고개,창동오이도,오이도당고개,진접사당
17:58,17:51,19:41,19:33
사당당고개,당고개사당,사당당고개,당고개오이도
-,17:54,19:47,19:39
-,당고개오이도,오이도당고개,진접사당
-,17:58,19:53,19:45
-,진접사당,사당진접,당고개오이도
18:02,18:02,19:59,19:51
안산당고개,당고개오이도,오이도당고개,당고개사당
18:05,18:05,-,19:57
사당진접,당고개사당,-,당고개오이도
18:09,18:09,20:05,20:02
오이도당고개,당고개오이도,사당당고개,진접사당
18:14,18:12,20:11,20:07
사당당고개,창동사당,오이도당고개,당고개오이도
18:17,18:15,20:17,20:12
안산당고개,당고개오이도,사당진접,당고개안산
18:20,18:19,20:23,20:17
사당진접,진접사당,오이도당고개,진접사당
18:24,18:22,20:29,20:22
오이도당고개,당고개오이도,사당당고개,당고개오이도
18:28,18:25,20:35,20:27
사당당고개,당고개사당,오이도당고개,당고개사당
18:31,18:32,20:41,20:32
오이도당고개,당고개오이도,사당진접,당고개오이도
18:35,18:35,20:47,20:37
사당진접,진접사당,오이도당고개,당고개오이도
18:38,18:38,20:53,20:42
안산당고개,당고개오이도,사당진접,진접사당
18:41,18:41,20:58,20:47
사당당고개,당고개사당,오이도당고개,당고개오이도
18:45,18:44,-,20:52
오이도당고개,당고개오이도,-,당고개오이도
18:49,18:47,-,20:57
사당진접,진접사당,-,진접사당
18:52,18:51,21:06,21:03
오이도당고개,당고개안산,오이도당고개,당고개오이도
18:56,18:55,21:11,21:09
사당당고개,진접사당,사당진접,진접사당
18:59,18:58급첫,21:17,21:15
오이도당고개,당고개오이도,오이도당고개,당고개오이도
19:03,19:02,21:23,21:21
사당진접,당고개사당,사당당고개,당고개사당
19:07,19:05,21:29,21:27
오이도당고개,창동오이도,오이도당고개,당고개오이도
19:11,19:09,21:35,21:33
사당당고개,진접사당,사당진접,진접사당
19:14,19:12,21:41,21:39
오이도당고개,당고개오이도,오이도당고개,당고개오이도
19:18,19:16,21:47,21:45
사당진접,당고개안산,사당당고개,당고개사당
19:21,19:19,21:53,21:51
오이도당고개,진접사당,오이도당고개,당고개오이도
19:24,19:23,21:59,21:57
사당당고개,당고개오이도,사당진접,진접사당
19:27,19:27,22:05,22:03
오이도당고개,당고개사당,오이도당고개,당고개오이도
19:31,19:30,22:11,22:09
사당진접,당고개오이도,사당당고개,당고개사당
19:35,19:34,22:17,22:15
오이도당고개,진접사당,오이도당고개,당고개오이도
19:38,19:37,22:23,22:21
사당당고개,당고개오이도,사당진접,진접사당
19:42,19:41,22:29,22:25
오이도당고개,당고개사당,오이도당고개,당고개안산
19:46,19:45,22:35,22:32
사당진접,당고개오이도,사당당고개,당고개오이도
19:49,19:49,22:41,22:39
오이도당고개,진접사당,오이도당고개,진접사당
19:54,19:53,22:49,22:48막
사당당고개,당고개오이도,사당진접,당고개오이도
19:57,19:57,22:57,22:54
오이도당고개,당고개사당,오이도당고개,진접사당
20:02,20:01,23:05막,23:01
사당진접,당고개오이도,사당진접,당고개안산
20:06,20:05,23:13,23:14
오이도당고개,진접사당,오이도당고개,당고개사당
20:10,20:09급,23:21막,23:24막
사당당고개,당고개오이도,사당당고개,당고개안산
20:13,20:12,23:29막,23:35
오이도당고개,당고개사당,오이도노원,진접사당
20:18,20:15,23:45막,23:46막
사당진접,진접사당,오이도한성대입구,당고개산본
20:22,20:19,-,-
오이도당고개,당고개오이도,-,-
20:26,20:23,-,-
사당당고개,당고개사당,-,-
20:29,20:27,-,-
오이도당고개,당고개오이도,-,-
20:34,20:31,-,-
사당진접,진접사당,-,-
20:38,20:36,-,-
오이도당고개,당고개오이도,-,-
20:42,20:43,-,-
사당당고개,당고개오이도,-,-
20:47,20:46,-,-
오이도당고개,진접사당,-,-
20:51,20:49,-,-
사당진접,당고개안산,-,-
20:55,20:52,-,-
안산당고개,당고개사당,-,-
20:59,20:56급막,-,-
사당당고개,당고개오이도,-,-
21:04,21:00,-,-
오이도당고개,진접사당,-,-
21:07,21:04,-,-
사당진접,당고개오이도,-,-
21:10,21:09,-,-
오이도당고개,당고개사당,-,-
21:15,21:13,-,-
사당당고개,당고개오이도,-,-
21:20,21:18,-,-
오이도당고개,진접사당,-,-
21:25,21:23,-,-
사당진접,당고개오이도,-,-
21:30,21:28,-,-
안산당고개,당고개안산,-,-
21:33,21:31,-,-
오이도당고개,진접사당,-,-
21:36,21:35,-,-
사당당고개,창동오이도,-,-
21:39,21:42,-,-
안산당고개,당고개오이도,-,-
21:42,21:46,-,-
사당진접,진접사당,-,-
21:44,21:51,-,-
오이도당고개,당고개안산,-,-
21:49,21:58,-,-
사당당고개,당고개오이도,-,-
21:57,-,-,-
오이도당고개,-,-,-
22:01,22:04,-,-
사당진접,진접사당,-,-
22:07,22:11,-,-
사당당고개,당고개오이도,-,-
22:11,22:16,-,-
오이도당고개,진접사당,-,-
22:19,22:20,-,-
오이도당고개,당고개안산,-,-
22:26,22:28,-,-
사당진접,당고개오이도,-,-
22:34,22:32,-,-
오이도당고개,진접사당,-,-
22:41,22:39,-,-
사당당고개,당고개오이도,-,-
22:48,22:46,-,-
오이도당고개,진접사당,-,-
22:55,22:51,-,-
사당진접,당고개오이도,-,-
-,22:59,-,-
-,당고개안산,-,-
23:02,23:04,-,-
오이도당고개,진접사당,-,-
23:08,23:15막,-,-
사당진접,당고개오이도,-,-
23:14,23:24,-,-
오이도당고개,진접사당,-,-
23:21,23:30막,-,-
사당진접,당고개안산,-,-
23:29,23:37,-,-
오이도당고개,진접사당,-,-
23:42,23:44,-,-
오이도당고개,당고개사당,-,-
23:49,23:54막,-,-
사당진접,당고개금정,-,-
23:55,-,-,-
오이도당고개,-,-,-
00:03막,0:07,-,-
사당진접,진접사당,-,-
0:13,0:26,-,-
오이도당고개,진접사당,-,-
00:26막,00:48막,-,-
사당당고개,진접사당,-,-
00:45막,-,-,-
오이도한성대입구,-,-,-
